	G1_rep1	G1_rep2	G1_rep3	G2_rep1	G2_rep2	G2_rep3
gene_16000	69	42	37	35	46	49
gene_16001	8	46	0	1	9	0
gene_16002	3	4	0	4	0	0
gene_16003	89	5	0	0	9	28
gene_16004	11	20	13	19	19	32
gene_16005	3	1	5	6	0	15
gene_16006	144	152	118	161	114	152
gene_16007	242	378	298	215	317	532
gene_16008	143	123	158	129	161	149
gene_16009	0	0	0	1	3	0
gene_16010	7	8	8	1	4	6
gene_16011	2	3	0	5	0	0
gene_16012	365	360	333	396	316	257
gene_16013	14	19	33	26	20	30
gene_16014	639	856	911	707	945	860
gene_16015	10	8	7	16	72	12
gene_16016	15	11	12	8	10	9
gene_16017	15	19	14	6	14	7
gene_16018	68	37	29	35	22	39
gene_16019	0	0	0	1	3	0
gene_16020	6	12	0	1	6	0
gene_16021	27	20	40	28	39	25
gene_16022	59	37	44	38	51	54
gene_16023	0	3	0	9	5	0
gene_16024	207	155	187	114	95	205
gene_16025	14	4	1	3	0	11
gene_16026	20	28	6	9	26	5
gene_16027	0	0	0	0	0	0
gene_16028	0	11	0	5	0	0
gene_16029	1	0	1	0	1	1
gene_16030	0	1	3	1	0	3
gene_16031	2	5	0	5	0	1
gene_16032	3	11	0	2	1	8
gene_16033	31	15	93	35	14	38
gene_16034	231	373	182	263	315	338
gene_16035	196	277	245	215	159	258
gene_16036	29	31	20	12	28	13
gene_16037	4	4	3	0	2	1
gene_16038	104	100	94	163	99	58
gene_16039	2	29	21	8	21	16
gene_16040	7	3	10	8	11	9
gene_16041	227	114	160	186	117	147
gene_16042	0	0	0	0	2	6
gene_16043	18	25	23	11	11	14
gene_16044	17	13	15	16	28	5
gene_16045	38	46	41	47	42	42
gene_16046	279	216	317	435	231	291
gene_16047	1	0	1	0	0	0
gene_16048	171	63	281	377	178	224
gene_16049	123	63	126	84	142	41
gene_16050	253	610	476	115	192	267
gene_16051	227	181	162	202	225	181
gene_16052	4	7	10	6	6	6
gene_16053	38	39	44	23	53	31
gene_16054	0	0	3	0	3	2
gene_16055	0	0	3	0	1	2
gene_16056	468	406	520	547	550	634
gene_16057	235	256	236	256	243	266
gene_16058	43	25	36	46	34	34
gene_16059	0	3	11	0	4	4
gene_16060	65	134	88	48	114	152
gene_16061	23	85	53	61	71	58
gene_16062	97	198	146	157	129	152
gene_16063	0	4	3	0	0	0
gene_16064	57	48	126	77	72	74
gene_16065	52	64	57	69	61	59
gene_16066	21	10	14	4	6	15
gene_16067	45	57	44	32	39	50
gene_16068	3	17	1	18	2	2
gene_16069	0	2	5	1	1	4
gene_16070	43	44	21	48	47	31
gene_16071	2	4	1	2	1	0
gene_16072	29	45	44	68	57	48
gene_16073	1	2	2	0	1	1
gene_16074	0	2	16	31	26	62
gene_16075	92	78	101	125	84	59
gene_16076	14	18	16	17	16	10
gene_16077	2	1	0	0	1	0
gene_16078	0	0	7	40	8	5
gene_16079	39	29	41	73	22	51
gene_16080	60	90	78	77	55	99
gene_16081	14	9	19	11	16	5
gene_16082	29	37	36	39	24	19
gene_16083	80	127	113	96	141	101
gene_16084	0	3	0	0	0	0
gene_16085	29	9	5	6	5	21
gene_16086	2	16	5	16	3	11
gene_16087	0	0	0	0	0	0
gene_16088	0	1	4	1	0	0
gene_16089	0	0	2	0	0	0
gene_16090	6	9	14	16	14	10
gene_16091	19	18	10	20	6	13
gene_16092	8	16	14	30	12	14
gene_16093	15	31	125	25	34	24
gene_16094	0	0	6	3	0	0
gene_16095	0	3	2	0	0	0
gene_16096	13	19	15	14	14	18
gene_16097	205	182	196	179	312	165
gene_16098	41	52	35	48	42	59
gene_16099	25	19	18	17	21	20
gene_16100	108	88	81	68	95	96
gene_16101	2	30	20	40	53	10
gene_16102	168	170	107	141	205	147
gene_16103	6	0	0	0	16	27
gene_16104	33	17	30	43	30	40
gene_16105	0	0	0	3	0	2
gene_16106	61	95	117	74	33	128
gene_16107	57	110	75	48	26	85
gene_16108	1	4	15	13	2	10
gene_16109	264	392	260	163	145	165
gene_16110	1	2	7	3	3	17
gene_16111	0	1	0	2	0	0
gene_16112	46	15	39	33	34	43
gene_16113	23	41	57	62	38	85
gene_16114	2	1	0	0	0	1
gene_16115	17	18	34	20	22	10
gene_16116	1	1	5	3	3	2
gene_16117	20	59	25	12	38	16
gene_16118	1	5	0	5	13	8
gene_16119	7	13	2	11	10	13
gene_16120	6	5	19	3	25	8
gene_16121	2	1	0	0	1	0
gene_16122	198	222	191	229	235	247
gene_16123	0	0	0	0	0	2
gene_16124	17	22	26	29	24	21
gene_16125	3	2	1	0	0	3
gene_16126	57	73	75	69	57	236
gene_16127	32	26	37	29	57	44
gene_16128	0	37	17	8	123	9
gene_16129	54	96	82	90	47	68
gene_16130	12	35	1	45	46	17
gene_16131	16	5	5	9	21	19
gene_16132	2	0	1	0	0	0
gene_16133	9	10	16	5	25	27
gene_16134	1	16	6	13	2	2
gene_16135	2	3	5	4	2	3
gene_16136	12	16	14	16	9	15
gene_16137	28	13	4	6	9	15
gene_16138	1	19	0	22	0	0
gene_16139	0	0	0	0	0	0
gene_16140	238	207	219	214	435	310
gene_16141	19	17	66	30	24	44
gene_16142	14	13	8	11	14	17
gene_16143	4	4	0	0	0	0
gene_16144	0	1	2	1	0	0
gene_16145	2	5	0	19	1	27
gene_16146	3	7	2	6	6	3
gene_16147	81	25	46	67	91	41
gene_16148	1	1	42	14	4	2
gene_16149	3	6	0	3	0	6
gene_16150	2	4	1	0	13	1
gene_16151	25	37	22	26	40	25
gene_16152	142	144	151	174	143	133
gene_16153	60	74	52	50	58	47
gene_16154	40	39	49	57	19	27
gene_16155	30	90	56	33	13	41
gene_16156	38	34	34	48	46	30
gene_16157	83	58	98	49	59	33
gene_16158	33	39	39	14	44	29
gene_16159	7	0	0	0	0	1
gene_16160	43	22	50	34	42	46
gene_16161	49	85	74	79	22	50
gene_16162	0	2	1	0	2	0
gene_16163	73	77	98	111	85	45
gene_16164	1	11	16	6	41	6
gene_16165	0	1	3	3	1	3
gene_16166	27	35	82	88	28	18
gene_16167	47	63	62	37	39	37
gene_16168	0	0	0	0	0	0
gene_16169	45	43	46	51	24	58
gene_16170	1	0	5	2	0	3
gene_16171	16	9	7	39	15	10
gene_16172	153	609	342	548	257	536
gene_16173	0	1	0	0	4	0
gene_16174	1	0	4	2	3	0
gene_16175	124	345	197	228	261	127
gene_16176	918	957	1571	1563	838	797
gene_16177	13	9	3	23	3	71
gene_16178	41	68	56	74	29	50
gene_16179	142	32	32	69	52	65
gene_16180	68	12	24	35	57	37
gene_16181	146	159	141	138	144	124
gene_16182	65	66	33	37	66	60
gene_16183	27	17	49	49	36	22
gene_16184	1	20	2	11	1	0
gene_16185	83	94	88	79	81	67
gene_16186	3	0	1	0	3	0
gene_16187	163	124	207	117	138	130
gene_16188	1	144	47	14	19	0
gene_16189	68	67	57	88	74	50
gene_16190	95	81	120	132	129	121
gene_16191	656	378	592	412	326	290
gene_16192	1	7	4	13	2	8
gene_16193	2	32	13	101	3	1
gene_16194	5	3	2	0	2	2
gene_16195	1	0	0	1	0	0
gene_16196	198	181	209	165	162	158
gene_16197	0	0	2	0	0	4
gene_16198	0	0	4	0	2	3
gene_16199	29	18	28	22	29	23
gene_16200	19	12	9	16	10	13
gene_16201	38	114	49	17	8	15
gene_16202	46	41	55	34	53	37
gene_16203	1	1	1	2	1	2
gene_16204	4	0	0	0	5	0
gene_16205	8	40	1	20	3	34
gene_16206	19	19	44	14	36	36
gene_16207	34	7	1	5	0	0
gene_16208	0	8	17	1	5	9
gene_16209	34	25	55	31	21	25
gene_16210	3	10	10	3	7	3
gene_16211	22	21	10	26	48	22
gene_16212	47	6	110	73	9	68
gene_16213	26	12	14	30	49	32
gene_16214	35	33	21	23	29	33
gene_16215	2	1	2	2	2	2
gene_16216	102	148	217	142	114	264
gene_16217	293	401	369	335	279	350
gene_16218	8	14	16	6	10	7
gene_16219	132	104	128	122	114	101
gene_16220	14	8	11	12	9	26
gene_16221	82	72	60	61	38	57
gene_16222	97	108	98	90	110	104
gene_16223	2	7	8	16	7	8
gene_16224	5	25	47	7	6	15
gene_16225	98	71	75	106	80	79
gene_16226	0	0	0	1	1	2
gene_16227	1	1	0	1	1	0
gene_16228	0	2	2	4	0	3
gene_16229	1	0	0	0	0	0
gene_16230	0	0	3	0	0	0
gene_16231	15	13	21	16	8	16
gene_16232	47	68	27	99	44	44
gene_16233	32	58	105	45	22	56
gene_16234	5	4	14	1	5	0
gene_16235	55	54	46	41	36	56
gene_16236	6	33	5	8	12	11
gene_16237	25	11	41	40	13	37
gene_16238	27	19	20	27	4	26
gene_16239	232	216	223	148	220	219
gene_16240	698	907	461	188	140	524
gene_16241	2	1	2	0	0	2
gene_16242	117	270	138	74	243	95
gene_16243	3	0	1	9	0	0
gene_16244	14	8	21	30	16	17
gene_16245	24	33	10	35	48	98
gene_16246	2	2	0	1	1	5
gene_16247	2	5	0	1	5	0
gene_16248	95	75	87	89	106	112
gene_16249	56	110	84	32	55	45
gene_16250	0	1	12	0	2	3
gene_16251	2	5	1	0	1	7
gene_16252	31	44	18	27	22	53
gene_16253	32	43	27	25	39	25
gene_16254	5	0	0	11	0	0
gene_16255	5	2	3	6	9	5
gene_16256	7	7	5	12	10	10
gene_16257	17	17	19	27	16	17
gene_16258	11	18	6	14	10	16
gene_16259	185	175	188	182	125	166
gene_16260	38	33	74	37	31	31
gene_16261	20	31	21	18	21	21
gene_16262	8	5	3	14	14	5
gene_16263	29	36	21	26	46	46
gene_16264	12	20	18	11	9	19
gene_16265	104	135	92	108	101	79
gene_16266	62	63	73	42	53	32
gene_16267	48	54	52	43	35	47
gene_16268	0	3	23	2	8	90
gene_16269	2	0	13	0	0	0
gene_16270	0	4	0	18	2	7
gene_16271	21	45	23	28	25	20
gene_16272	19	20	16	24	32	19
gene_16273	0	0	8	3	3	2
gene_16274	140	101	98	132	85	118
gene_16275	230	216	171	197	202	163
gene_16276	0	6	8	4	0	13
gene_16277	1	0	0	0	0	1
gene_16278	6	3	2	13	9	7
gene_16279	13	22	4	13	15	17
gene_16280	31	78	46	48	25	26
gene_16281	25	26	19	24	14	20
gene_16282	5	18	7	24	1	0
gene_16283	274	242	106	150	46	146
gene_16284	1	0	1	2	3	6
gene_16285	4	5	3	3	6	2
gene_16286	9	3	1	5	5	5
gene_16287	1	7	9	7	5	6
gene_16288	80	0	7	7	56	14
gene_16289	34	14	19	15	18	21
gene_16290	5	5	0	0	0	3
gene_16291	1	2	2	1	0	3
gene_16292	44	42	65	46	47	57
gene_16293	320	361	300	301	230	433
gene_16294	43	38	46	27	17	36
gene_16295	108	75	81	111	62	132
gene_16296	10	17	3	0	4	6
gene_16297	68	87	43	102	97	72
gene_16298	31	92	78	55	85	37
gene_16299	163	127	136	41	48	93
gene_16300	95	98	83	69	124	92
gene_16301	14	11	26	11	17	4
gene_16302	104	103	129	101	139	89
gene_16303	66	72	66	52	35	62
gene_16304	3	1	0	1	0	0
gene_16305	69	80	73	40	66	80
gene_16306	10	6	9	15	10	4
gene_16307	4	0	0	1	6	0
gene_16308	72	61	86	54	63	88
gene_16309	5	2	2	4	0	9
gene_16310	68	45	19	32	17	3
gene_16311	132	128	144	146	219	152
gene_16312	0	17	9	50	1	11
gene_16313	1	2	0	5	15	0
gene_16314	46	61	53	80	63	74
gene_16315	14	12	14	11	15	11
gene_16316	0	1	0	0	0	0
gene_16317	32	55	23	52	58	51
gene_16318	11	6	0	14	30	1
gene_16319	0	0	0	0	1	7
gene_16320	90	80	93	74	77	101
gene_16321	85	43	75	119	94	75
gene_16322	0	0	0	0	6	0
gene_16323	73	163	5	119	41	148
gene_16324	3	7	18	8	17	9
gene_16325	0	0	4	2	0	0
gene_16326	39	28	38	35	51	19
gene_16327	6	2	0	0	0	9
gene_16328	24	16	16	16	13	34
gene_16329	52	48	66	61	57	49
gene_16330	42	17	40	52	82	58
gene_16331	49	88	86	46	89	64
gene_16332	49	31	36	33	37	44
gene_16333	2	0	0	16	6	1
gene_16334	14	1	0	1	54	81
gene_16335	62	81	41	88	50	47
gene_16336	0	3	1	0	0	1
gene_16337	50	28	47	25	32	33
gene_16338	0	3	5	4	3	6
gene_16339	24	0	19	8	10	19
gene_16340	1157	2205	745	1313	1093	2682
gene_16341	8	6	12	15	9	6
gene_16342	0	0	0	1	0	0
gene_16343	14	4	0	0	3	0
gene_16344	18	22	21	23	9	40
gene_16345	1	4	1	1	0	3
gene_16346	8	5	9	10	15	25
gene_16347	1	4	0	4	0	0
gene_16348	18	24	20	18	26	24
gene_16349	37	14	20	29	48	21
gene_16350	32	30	22	17	26	19
gene_16351	12	29	10	14	16	25
gene_16352	274	319	509	445	217	271
gene_16353	18	14	30	21	20	20
gene_16354	20	31	7	47	43	24
gene_16355	19	8	18	0	55	0
gene_16356	0	1	0	0	0	7
gene_16357	58	92	153	29	47	74
gene_16358	1	2	2	1	0	2
gene_16359	11	0	0	3	0	17
gene_16360	0	1	2	0	0	0
gene_16361	6	9	7	8	8	11
gene_16362	0	0	0	5	0	0
gene_16363	2093	1988	2839	3100	2040	2633
gene_16364	83	67	73	81	45	77
gene_16365	10	12	2	7	7	10
gene_16366	8	0	4	1	0	2
gene_16367	3	0	1	1	4	0
gene_16368	238	148	58	293	212	72
gene_16369	2	6	2	23	5	8
gene_16370	5	13	15	19	6	11
gene_16371	358	420	460	374	264	340
gene_16372	7	11	4	8	3	2
gene_16373	5	8	3	3	3	4
gene_16374	0	0	2	0	0	8
gene_16375	1	2	0	0	0	0
gene_16376	15	3	40	34	12	50
gene_16377	31	38	42	53	48	52
gene_16378	1	7	4	7	1	25
gene_16379	33	7	13	4	15	4
gene_16380	0	0	0	3	0	0
gene_16381	7	20	35	32	6	14
gene_16382	9	0	0	2	1	0
gene_16383	0	0	0	0	2	0
gene_16384	0	0	2	1	0	0
gene_16385	6	1	0	1	0	3
gene_16386	4	4	2	1	10	11
gene_16387	2	3	1	0	4	2
gene_16388	8	4	21	6	9	5
gene_16389	0	5	4	0	2	1
gene_16390	35	48	49	44	34	31
gene_16391	2	3	0	0	1	0
gene_16392	36	46	29	54	48	28
gene_16393	0	0	7	1	2	1
gene_16394	9	11	10	7	5	14
gene_16395	37	72	9	45	49	10
gene_16396	3	0	7	2	2	10
gene_16397	14	9	4	8	0	14
gene_16398	125	99	107	96	74	70
gene_16399	51	108	42	74	97	46
gene_16400	2	2	0	1	2	1
gene_16401	0	7	2	1	0	7
gene_16402	0	18	1	0	1	1
gene_16403	0	0	3	1	0	0
gene_16404	0	3	14	1	4	4
gene_16405	82	80	64	83	64	89
gene_16406	41	35	36	61	44	67
gene_16407	0	16	0	0	1	2
gene_16408	0	1	4	3	1	1
gene_16409	23	12	9	14	12	26
gene_16410	40	27	59	20	45	31
gene_16411	0	2	0	3	3	9
gene_16412	3	1	5	4	18	6
gene_16413	144	280	376	580	401	262
gene_16414	30	25	23	34	28	28
gene_16415	23	47	49	61	66	65
gene_16416	103	90	117	101	37	89
gene_16417	55	119	178	71	92	92
gene_16418	48	25	43	28	45	39
gene_16419	10	15	23	20	12	20
gene_16420	0	0	1	6	0	0
gene_16421	50	63	68	68	61	77
gene_16422	149	196	325	185	190	113
gene_16423	295	147	124	124	127	132
gene_16424	17	23	5	6	4	8
gene_16425	1745	1790	1826	1774	1514	1632
gene_16426	7	37	23	19	33	23
gene_16427	81	52	25	20	6	28
gene_16428	113	131	116	120	154	133
gene_16429	128	86	93	101	133	68
gene_16430	44	66	45	56	14	81
gene_16431	14	5	17	10	26	21
gene_16432	1	1	2	1	0	1
gene_16433	1	1	5	2	4	1
gene_16434	0	1	1	0	0	5
gene_16435	24	30	30	36	19	27
gene_16436	19	13	26	36	25	26
gene_16437	80	86	133	66	78	99
gene_16438	19	10	14	12	29	14
gene_16439	42	42	31	6	12	15
gene_16440	91	131	65	86	47	46
gene_16441	14	37	28	17	71	2
gene_16442	1	4	0	0	6	5
gene_16443	1	1	1	0	7	0
gene_16444	14	2	23	30	0	19
gene_16445	0	0	0	0	1	1
gene_16446	24	35	34	33	26	22
gene_16447	3	3	10	7	5	3
gene_16448	0	0	2	0	0	0
gene_16449	540	683	234	806	566	407
gene_16450	0	2	11	2	1	1
gene_16451	10	0	3	1	0	1
gene_16452	19	42	33	35	29	38
gene_16453	57	106	124	58	83	56
gene_16454	6	4	13	1	4	10
gene_16455	0	0	0	0	0	0
gene_16456	56	53	28	52	48	49
gene_16457	2	0	0	1	6	0
gene_16458	20	22	31	24	23	15
gene_16459	81	118	57	109	100	39
gene_16460	22	43	30	30	26	27
gene_16461	26	17	20	21	16	14
gene_16462	69	99	94	74	47	16
gene_16463	0	0	0	3	1	19
gene_16464	0	0	3	1	7	5
gene_16465	7	2	3	5	6	8
gene_16466	18	25	40	25	30	16
gene_16467	40	23	12	17	13	24
gene_16468	261	257	318	287	236	278
gene_16469	1	3	7	3	3	1
gene_16470	11	56	6	20	27	14
gene_16471	0	0	0	1	2	0
gene_16472	4	10	0	5	6	40
gene_16473	533	577	533	354	402	257
gene_16474	20	13	19	22	25	21
gene_16475	27	81	109	78	39	37
gene_16476	130	105	148	128	116	107
gene_16477	8	6	9	10	5	7
gene_16478	33	33	21	85	30	45
gene_16479	0	0	0	3	0	1
gene_16480	74	35	135	76	108	96
gene_16481	70	88	46	59	110	73
gene_16482	1	1	16	30	7	13
gene_16483	5	0	11	2	7	2
gene_16484	599	461	1231	537	804	621
gene_16485	198	247	213	266	206	176
gene_16486	174	124	96	116	88	153
gene_16487	10	0	0	5	0	2
gene_16488	48	32	16	49	31	4
gene_16489	0	0	0	0	1	2
gene_16490	38	9	17	34	33	73
gene_16491	44	59	66	47	34	41
gene_16492	263	166	159	157	217	275
gene_16493	34	33	26	34	48	39
gene_16494	2	1	6	0	1	4
gene_16495	47	52	109	79	56	94
gene_16496	154	108	173	173	107	197
gene_16497	2	1	0	0	0	5
gene_16498	2	24	6	0	0	1
gene_16499	3	6	0	2	4	1
gene_16500	20	12	27	15	24	39
gene_16501	8	0	6	5	9	7
gene_16502	6	9	35	25	8	23
gene_16503	10	7	12	11	8	7
gene_16504	52	29	18	15	38	53
gene_16505	0	8	19	0	2	0
gene_16506	6	10	10	10	8	13
gene_16507	0	5	4	3	0	3
gene_16508	4	16	8	13	11	21
gene_16509	16	32	11	6	28	15
gene_16510	587	523	479	634	618	518
gene_16511	0	6	0	0	1	0
gene_16512	1	7	5	0	2	0
gene_16513	97	158	132	162	243	122
gene_16514	18	22	42	19	20	35
gene_16515	43	51	44	43	26	25
gene_16516	5	15	0	1	4	0
gene_16517	16	13	18	8	12	19
gene_16518	0	1	1	1	0	1
gene_16519	54	59	90	113	53	105
gene_16520	0	0	0	5	6	1
gene_16521	0	0	0	0	0	0
gene_16522	112	149	106	134	140	131
gene_16523	3	0	3	2	1	3
gene_16524	19	5	5	8	9	12
gene_16525	2	0	0	0	0	3
gene_16526	37	39	101	49	71	68
gene_16527	313	268	182	146	247	118
gene_16528	53	26	68	64	13	28
gene_16529	1	2	1	1	2	1
gene_16530	6	3	5	1	0	2
gene_16531	48	40	47	28	63	57
gene_16532	22	31	32	50	35	49
gene_16533	0	2	3	2	2	0
gene_16534	431	322	363	294	287	400
gene_16535	22	17	40	32	21	33
gene_16536	14	296	1	17	2	17
gene_16537	46	57	65	44	46	51
gene_16538	0	3	0	0	0	1
gene_16539	3	0	0	0	0	5
gene_16540	9	15	4	3	3	6
gene_16541	16	10	18	1	5	71
gene_16542	16	33	37	33	23	37
gene_16543	2	3	3	3	0	9
gene_16544	50	7	1	2	1	30
gene_16545	0	0	2	0	0	0
gene_16546	0	20	11	0	30	33
gene_16547	361	301	311	297	305	292
gene_16548	55	40	64	60	52	67
gene_16549	18	19	16	17	20	17
gene_16550	70	94	117	164	80	90
gene_16551	0	0	24	1	0	1
gene_16552	272	239	249	248	235	232
gene_16553	18	25	11	18	29	23
gene_16554	96	16	9	58	0	64
gene_16555	31	39	25	24	22	24
gene_16556	53	59	61	47	96	80
gene_16557	4	4	3	15	4	9
gene_16558	29	36	35	23	20	33
gene_16559	1	0	4	0	2	1
gene_16560	1	1	1	4	1	1
gene_16561	9	8	2	21	1	11
gene_16562	0	1	0	0	0	5
gene_16563	69	22	113	157	50	63
gene_16564	2	1	2	0	0	0
gene_16565	63	45	61	48	48	68
gene_16566	151	192	176	222	204	204
gene_16567	5	7	14	9	10	3
gene_16568	334	320	57	118	163	262
gene_16569	194	175	313	226	250	340
gene_16570	98	113	120	129	94	74
gene_16571	37	65	59	38	41	28
gene_16572	8	4	1	10	7	2
gene_16573	9	6	13	6	11	7
gene_16574	1	0	2	0	0	0
gene_16575	15	29	13	6	43	15
gene_16576	5	53	12	44	0	32
gene_16577	0	12	18	0	22	2
gene_16578	5	29	0	10	0	5
gene_16579	1	11	0	4	0	5
gene_16580	2	23	16	25	15	6
gene_16581	501	481	408	415	438	354
gene_16582	0	0	0	8	3	0
gene_16583	3	12	18	14	7	9
gene_16584	54	27	20	27	30	14
gene_16585	88	116	144	111	145	120
gene_16586	105	83	88	112	122	108
gene_16587	11	36	11	21	5	18
gene_16588	301	185	428	250	371	377
gene_16589	7	11	14	3	3	6
gene_16590	8	12	13	17	10	2
gene_16591	27	16	11	11	11	6
gene_16592	43	59	36	55	31	67
gene_16593	1	1	2	1	1	1
gene_16594	48	44	48	56	40	47
gene_16595	68	77	85	93	85	98
gene_16596	0	0	2	0	0	1
gene_16597	0	3	1	3	3	4
gene_16598	1095	1234	1469	1233	1109	1110
gene_16599	0	0	23	0	5	0
gene_16600	0	0	1	3	1	0
gene_16601	372	418	361	451	435	353
gene_16602	29	52	26	50	37	53
gene_16603	2	49	11	66	8	2
gene_16604	8	7	0	1	0	0
gene_16605	0	0	0	0	3	0
gene_16606	1112	923	939	631	1654	2278
gene_16607	1	5	1	4	14	1
gene_16608	338	285	289	299	441	401
gene_16609	19	12	25	15	23	20
gene_16610	3	64	21	4	2	12
gene_16611	10	7	6	5	3	5
gene_16612	11	4	18	3	13	8
gene_16613	0	0	0	0	2	1
gene_16614	8	5	0	2	2	0
gene_16615	6	0	7	1	7	1
gene_16616	182	123	119	93	185	117
gene_16617	453	285	412	397	227	213
gene_16618	25	31	17	30	21	32
gene_16619	131	159	163	121	190	166
gene_16620	1	3	2	4	0	5
gene_16621	0	1	1	0	0	14
gene_16622	3	16	0	1	4	22
gene_16623	874	899	771	744	774	799
gene_16624	26	1	2	1	0	9
gene_16625	7	3	3	4	5	2
gene_16626	85	105	132	105	90	157
gene_16627	25	38	54	49	50	23
gene_16628	2	4	3	0	13	0
gene_16629	6	43	30	0	23	2
gene_16630	52	13	42	39	63	29
gene_16631	21	23	21	18	30	16
gene_16632	2	0	0	4	9	2
gene_16633	3	14	1	4	3	6
gene_16634	0	1	0	1	5	0
gene_16635	69	161	91	148	99	55
gene_16636	3	5	5	0	1	2
gene_16637	0	0	0	0	0	0
gene_16638	39	28	55	19	26	21
gene_16639	288	293	367	189	361	324
gene_16640	3	0	0	2	0	1
gene_16641	0	37	35	6	12	4
gene_16642	0	2	2	6	1	0
gene_16643	12	55	40	45	24	42
gene_16644	453	404	347	230	446	314
gene_16645	28	8	0	1	4	29
gene_16646	102	79	107	92	117	91
gene_16647	2	10	0	3	0	1
gene_16648	1	0	1	1	2	2
gene_16649	13	23	18	16	21	11
gene_16650	53	53	44	30	23	38
gene_16651	1108	1250	1324	1158	1179	1169
gene_16652	23	3	5	0	1	0
gene_16653	8	9	9	14	15	15
gene_16654	4	4	4	10	8	9
gene_16655	106	120	170	140	132	149
gene_16656	0	0	1	4	0	1
gene_16657	23	26	19	32	33	39
gene_16658	18	3	14	9	18	22
gene_16659	25	6	2	27	0	65
gene_16660	136	93	111	87	106	59
gene_16661	3	0	0	1	0	6
gene_16662	5	2	2	0	6	0
gene_16663	39	33	27	31	35	55
gene_16664	98	176	120	134	83	125
gene_16665	219	183	225	199	203	219
gene_16666	10	15	10	36	8	22
gene_16667	21	7	5	34	8	25
gene_16668	23	21	74	85	12	10
gene_16669	14	6	4	3	9	1
gene_16670	220	247	146	197	249	236
gene_16671	0	2	0	0	0	1
gene_16672	141	156	149	158	162	141
gene_16673	37	145	64	200	123	100
gene_16674	57	41	56	58	34	49
gene_16675	7	9	12	7	30	27
gene_16676	8	4	9	23	6	14
gene_16677	1	0	0	0	8	0
gene_16678	47	78	62	93	65	95
gene_16679	3	6	2	3	4	3
gene_16680	136	119	80	48	103	217
gene_16681	29	34	14	38	26	27
gene_16682	27	15	6	24	24	31
gene_16683	88	104	92	78	90	107
gene_16684	163	133	135	183	157	193
gene_16685	2	0	0	0	0	5
gene_16686	124	114	198	159	170	294
gene_16687	7	5	32	5	16	17
gene_16688	1	10	6	1	1	3
gene_16689	3	6	1	11	9	3
gene_16690	0	0	0	0	0	1
gene_16691	228	136	250	141	196	153
gene_16692	0	0	0	3	0	0
gene_16693	7	7	24	2	3	0
gene_16694	28	24	10	25	27	28
gene_16695	15	12	12	8	22	7
gene_16696	60	80	48	67	99	43
gene_16697	3	0	1	2	1	4
gene_16698	6	6	6	0	13	15
gene_16699	8	6	2	3	3	3
gene_16700	10	13	19	8	10	18
gene_16701	0	0	0	0	1	0
gene_16702	31	17	14	20	13	15
gene_16703	7	4	11	15	13	11
gene_16704	48	86	54	31	3	0
gene_16705	107	120	74	83	121	36
gene_16706	1	1	1	1	1	0
gene_16707	13	11	19	10	11	9
gene_16708	15	37	20	23	23	20
gene_16709	201	269	215	267	287	145
gene_16710	327	309	241	387	258	312
gene_16711	0	4	10	0	1	3
gene_16712	2	0	2	0	0	0
gene_16713	5	30	16	3	3	23
gene_16714	22	17	13	19	16	19
gene_16715	15	35	84	26	65	3
gene_16716	0	0	0	2	2	0
gene_16717	72	32	33	41	10	26
gene_16718	0	0	3	1	0	0
gene_16719	2	2	0	2	0	6
gene_16720	0	2	0	3	1	1
gene_16721	17	22	24	15	27	18
gene_16722	0	0	1	1	0	1
gene_16723	484	582	323	520	496	426
gene_16724	1	13	2	2	0	5
gene_16725	29	7	5	19	2	7
gene_16726	23	1	5	1	0	2
gene_16727	2	10	5	28	11	20
gene_16728	6	4	7	11	31	9
gene_16729	14	13	47	18	28	54
gene_16730	19	18	8	13	18	13
gene_16731	245	201	486	347	637	530
gene_16732	25	19	22	12	16	10
gene_16733	79	70	49	29	58	61
gene_16734	27	15	20	6	13	12
gene_16735	1	2	6	0	0	8
gene_16736	1	2	0	1	0	0
gene_16737	0	1	0	0	0	0
gene_16738	6	2	1	5	0	7
gene_16739	220	221	178	219	229	208
gene_16740	3	14	22	24	36	7
gene_16741	3	3	7	1	1	0
gene_16742	1	25	20	5	74	29
gene_16743	60	51	53	68	55	64
gene_16744	92	115	154	100	112	158
gene_16745	25	36	8	1	9	59
gene_16746	10	10	2	5	4	9
gene_16747	39	66	58	55	36	42
gene_16748	11	5	7	1	1	5
gene_16749	86	63	104	48	67	71
gene_16750	11	17	41	16	8	15
gene_16751	0	5	4	1	3	1
gene_16752	75	62	62	48	89	74
gene_16753	20	28	21	32	29	29
gene_16754	318	327	350	291	323	310
gene_16755	20	12	8	14	33	14
gene_16756	3	0	0	0	1	0
gene_16757	0	39	35	13	0	9
gene_16758	33	7	0	41	26	11
gene_16759	195	217	216	50	199	145
gene_16760	53	67	32	24	14	30
gene_16761	33	48	32	35	42	52
gene_16762	0	0	1	0	0	1
gene_16763	53	14	12	5	18	16
gene_16764	7	10	13	10	7	7
gene_16765	57	36	10	31	48	12
gene_16766	102	42	224	30	137	317
gene_16767	3	8	8	8	1	1
gene_16768	1	0	0	0	2	0
gene_16769	17	26	17	16	19	27
gene_16770	0	0	0	1	2	0
gene_16771	0	0	0	2	0	0
gene_16772	0	0	0	0	0	2
